Age,G,GS,Cmp,Att,PassYds,PassTD,Int,RushAtt,RushYds,Y/A,RushTD,Tgt,Rec,RecYds,Y/R,RecTD,Fmb,FL,TotTD,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank
24,15,1,0,0,0,0,0,0,0,0,0,10,8,58,7.25,0,0,0,0,0,0,6,13.8,13.8,9.8,0,87,0
26,3,0,5,11,49,0,0,7,41,5.86,0,0,0,0,0,0,0,0,0,0,0,6,6.1,6.1,6.1,0,54,0
27,5,0,0,0,0,0,0,0,0,0,0,10,4,61,15.25,0,0,0,0,0,0,6,10.1,10.1,8.1,0,171,0
23,7,2,0,0,0,0,0,0,0,0,0,10,3,60,20,0,0,0,0,0,0,6,9,9,7.5,0,172,0
29,12,2,0,0,0,0,0,7,20,2.86,0,10,6,36,6,0,0,0,0,0,0,6,11.6,11.6,8.6,0,119,0
25,13,5,0,0,0,0,0,0,0,0,0,17,6,56,9.33,0,0,0,0,0,0,6,11.6,11.6,8.6,0,173,0
30,8,0,4,6,33,1,0,10,7,0.7,0,1,0,0,0,0,0,0,0,0,0,6,6,6,6,0,55,0
28,7,3,0,0,0,0,0,0,4,0,0,8,4,57,14.25,0,0,0,0,0,0,6,10.1,10.1,8.1,0,86,0
23,6,3,0,0,0,0,0,0,0,0,0,5,4,54,13.5,0,0,0,0,0,0,5,9.4,9.4,7.4,0,120,0
22,1,1,0,0,0,0,0,0,0,0,0,4,2,48,24,0,0,0,0,0,0,5,6.8,6.8,5.8,0,175,0
26,12,1,0,0,0,0,0,13,27,2.08,0,8,7,22,3.14,0,0,0,0,0,0,5,11.9,11.9,8.4,0,124,0
30,16,4,0,0,0,0,0,3,7,2.33,0,7,5,41,8.2,0,0,0,0,0,0,5,9.8,9.8,7.3,0,126,0
24,3,1,0,0,0,0,0,30,91,3.03,0,4,3,1,0.33,0,2,2,0,0,0,5,8.2,10.2,6.7,0,121,0
23,5,1,0,0,0,0,0,0,0,0,0,4,2,46,23,0,0,0,0,0,0,5,6.6,6.6,5.6,0,176,0
31,11,0,0,0,0,0,0,9,40,4.44,0,1,1,9,9,0,0,0,0,0,0,5,5.9,5.9,5.4,0,123,0
31,12,1,0,0,0,0,0,0,0,0,0,7,3,50,16.67,0,0,0,0,0,0,5,8,8,6.5,0,90,0
23,10,0,0,0,0,0,0,9,27,3,0,5,3,23,7.67,0,0,0,0,0,0,5,8,8,6.5,0,122,0
26,16,1,0,0,0,0,0,15,39,2.6,0,4,2,9,4.5,0,0,0,0,0,0,5,6.8,6.8,5.8,0,125,0
31,15,9,0,0,0,0,0,0,0,0,0,14,8,53,6.63,0,1,0,0,0,0,5,13.3,13.3,9.3,0,88,0
24,16,1,0,0,0,0,0,1,2,2,0,3,2,47,23.5,0,0,0,0,0,0,5,6.9,6.9,5.9,0,91,0
28,10,0,0,0,0,0,0,0,0,0,0,9,4,51,12.75,0,0,0,0,0,0,5,9.1,9.1,7.1,0,174,0
24,6,0,0,0,0,0,0,0,0,0,0,8,5,46,9.2,0,0,0,0,0,0,5,9.6,9.6,7.1,0,177,0
24,9,1,0,0,0,0,0,0,0,0,0,4,3,50,16.67,0,0,0,0,0,0,5,8,8,6.5,0,89,0
28,2,0,0,0,0,0,0,16,43,2.69,0,0,0,0,0,0,0,0,0,0,0,4,4.3,4.3,4.3,0,127,0
27,7,1,0,0,0,0,0,0,0,0,0,3,3,38,12.67,0,0,0,0,0,0,4,6.8,6.8,5.3,0,179,0
30,2,0,6,10,56,1,0,2,0,0,0,0,0,0,0,0,3,1,0,0,0,4,4.2,5.2,4.2,0,58,0
33,1,1,18,27,122,0,1,2,14,7,0,0,0,0,0,0,2,0,0,0,0,4,4.3,5.3,5.3,0,57,0
25,3,1,0,0,0,0,0,0,0,0,0,6,2,37,18.5,0,0,0,0,0,0,4,5.7,5.7,4.7,0,180,0
24,10,0,0,0,0,0,0,0,0,0,0,5,2,43,21.5,0,0,0,0,0,0,4,6.3,6.3,5.3,0,178,0
25,4,0,0,0,0,0,0,12,29,2.42,0,1,1,9,9,0,0,0,0,0,0,4,4.8,4.8,4.3,0,128,0
26,3,0,0,0,0,0,0,10,30,3,0,1,0,0,0,0,0,0,0,0,0,3,3,3,3,0,130,0
30,5,2,0,0,0,0,0,0,0,0,0,16,6,30,5,0,0,0,0,0,0,3,9,9,6,0,186,0
26,4,0,0,0,0,0,0,0,0,0,0,4,2,31,15.5,0,0,0,0,0,0,3,5.1,5.1,4.1,0,184,0
25,9,6,0,0,0,0,0,0,0,0,0,3,2,27,13.5,0,0,0,0,0,0,3,4.7,4.7,3.7,0,94,0
25,16,0,0,0,0,0,0,0,0,0,0,5,3,28,9.33,0,0,0,0,0,0,3,5.8,5.8,4.3,0,188,0
25,2,0,0,0,0,0,0,11,26,2.36,0,1,0,0,0,0,0,0,0,0,0,3,2.6,2.6,2.6,0,131,0
25,1,1,0,0,0,0,0,0,0,0,0,5,3,32,10.67,0,0,0,0,0,0,3,6.2,6.2,4.7,0,183,0
29,16,3,0,0,0,0,0,1,9,9,0,15,3,21,7,0,0,0,0,0,0,3,6,6,4.5,0,187,0
25,9,1,0,0,0,0,0,0,0,0,0,5,2,26,13,0,0,0,0,0,0,3,4.6,4.6,3.6,0,95,0
24,2,1,0,0,0,0,0,0,0,0,0,4,2,34,17,0,0,0,0,0,0,3,5.4,5.4,4.4,0,181,0
27,3,1,0,0,0,0,0,0,0,0,0,12,4,33,8.25,0,0,0,0,0,0,3,7.3,7.3,5.3,0,182,0
27,1,0,0,0,0,0,0,0,0,0,0,1,1,30,30,0,0,0,0,0,0,3,4,4,3.5,0,185,0
25,13,2,0,0,0,0,0,0,0,0,0,7,4,26,6.5,0,0,0,0,0,0,3,6.6,6.6,4.6,0,96,0
31,13,0,0,0,0,0,0,1,7,7,0,7,3,20,6.67,0,1,0,0,0,0,3,5.7,5.7,4.2,0,190,0
23,9,2,0,0,0,0,0,0,0,0,0,6,5,30,6,0,0,0,0,0,0,3,8,8,5.5,0,93,0
24,5,2,0,0,0,0,0,1,5,5,0,3,2,22,11,0,0,0,0,0,0,3,4.7,4.7,3.7,0,189,0
29,3,0,0,0,0,0,0,0,0,0,0,8,3,25,8.33,0,0,0,0,0,0,3,5.5,5.5,4,0,193,0
31,16,0,0,0,0,0,0,4,9,2.25,0,3,2,22,11,0,0,0,0,0,0,3,5.1,5.1,4.1,0,129,0
23,7,1,0,0,0,0,0,0,0,0,0,3,2,27,13.5,0,0,0,0,0,0,3,4.7,4.7,3.7,0,192,0
25,9,0,0,0,0,0,0,0,0,0,0,11,8,27,3.38,0,1,0,0,0,0,3,10.7,10.7,6.7,0,191,0
26,3,1,0,0,0,0,0,0,0,0,0,6,4,51,12.75,0,1,1,0,0,0,3,7.1,8.1,5.1,0,92,0
23,10,2,0,0,0,0,0,0,0,0,0,6,4,17,4.25,0,0,0,0,0,0,2,5.7,5.7,3.7,0,135,0
30,7,0,0,0,0,0,0,0,0,0,0,3,2,20,10,0,0,0,0,0,0,2,4,4,3,0,197,0
26,13,1,0,0,0,0,0,0,0,0,0,3,2,21,10.5,0,1,0,0,0,0,2,4.1,4.1,3.1,0,195,0
32,2,1,0,0,0,0,0,0,0,0,0,5,4,22,5.5,0,0,0,0,0,0,2,6.2,6.2,4.2,0,194,0
24,1,0,0,0,0,0,0,0,0,0,0,1,1,16,16,0,0,0,0,0,0,2,2.6,2.6,2.1,0,205,0
24,6,3,0,0,0,0,0,0,0,0,0,5,2,17,8.5,0,0,0,0,0,0,2,3.7,3.7,2.7,0,202,0
22,13,0,0,0,0,0,0,0,0,0,0,2,2,17,8.5,0,0,0,0,0,0,2,3.7,3.7,2.7,0,203,0
26,10,0,0,0,0,0,0,1,10,10,0,4,2,11,5.5,0,2,0,0,0,0,2,4.1,4.1,3.1,0,134,0
27,8,0,0,0,0,0,0,0,0,0,0,5,2,17,8.5,0,0,0,0,0,0,2,3.7,3.7,2.7,0,201,0
28,6,1,0,0,0,0,0,1,1,1,0,4,3,18,6,0,0,0,0,0,0,2,4.9,4.9,3.4,0,198,0
25,12,0,0,0,0,0,0,3,10,3.33,0,3,2,13,6.5,0,0,0,0,0,0,2,4.3,4.3,3.3,0,132,0
26,8,2,0,0,0,0,0,0,0,0,0,15,4,18,4.5,0,0,0,0,0,0,2,5.8,5.8,3.8,0,200,0
26,14,1,0,0,0,0,0,1,0,0,0,5,3,21,7,0,0,0,0,0,0,2,5.1,5.1,3.6,0,196,0
23,11,0,0,0,0,0,0,0,0,0,0,10,3,18,6,0,0,0,0,0,0,2,4.8,4.8,3.3,0,199,0
22,4,1,0,0,0,0,0,0,0,0,0,6,3,15,5,0,0,0,0,0,0,2,4.5,4.5,3,0,98,0
24,7,0,0,0,0,0,0,5,16,3.2,0,0,0,0,0,0,0,0,0,0,0,2,1.6,1.6,1.6,0,137,0
25,2,0,0,0,0,0,0,0,0,0,0,3,2,21,10.5,0,0,0,0,0,0,2,4.1,4.1,3.1,0,97,0
27,16,5,0,0,0,0,0,5,8,1.6,0,3,1,13,13,0,0,0,0,0,0,2,3.1,3.1,2.6,0,133,0
27,16,2,0,0,0,0,0,3,6,2,0,8,6,31,5.17,0,3,1,0,0,0,2,7.7,8.7,4.7,0,204,0
24,6,1,0,0,0,0,0,0,0,0,0,11,3,35,11.67,0,3,1,0,0,0,2,4.5,5.5,3,0,206,0
28,5,0,0,0,0,0,0,3,-2,-0.67,0,3,2,19,9.5,0,0,0,0,0,0,2,3.7,3.7,2.7,0,136,0
23,3,0,0,0,0,0,0,8,12,1.5,0,0,0,0,0,0,0,0,0,0,0,1,1.2,1.2,1.2,0,138,0
26,8,5,0,0,0,0,0,0,0,0,0,3,1,11,11,0,0,0,0,0,0,1,2.1,2.1,1.6,0,101,0
25,3,0,0,0,0,0,0,8,7,0.88,0,0,0,0,0,0,0,0,0,0,0,1,0.7,0.7,0.7,0,147,0
26,6,3,0,0,0,0,0,0,0,0,0,4,1,9,9,0,0,0,0,0,0,1,1.9,1.9,1.4,0,214,0
26,4,2,0,0,0,0,0,0,0,0,0,2,1,12,12,0,0,0,0,0,0,1,2.2,2.2,1.7,0,100,0
26,2,0,0,0,0,0,0,3,9,3,0,0,0,0,0,0,0,0,0,0,0,1,0.9,0.9,0.9,0,144,0
29,2,1,0,0,0,0,0,0,0,0,0,9,4,14,3.5,0,0,0,0,0,0,1,5.4,5.4,3.4,0,209,0
24,2,2,28,52,228,0,4,7,22,3.14,0,0,0,0,0,0,1,1,0,0,0,1,1.3,6.3,5.3,0,59,0
30,2,0,2,4,18,0,0,4,-1,-0.25,0,0,0,0,0,0,0,0,0,0,0,1,0.6,0.6,0.6,0,61,0
22,2,0,0,0,0,0,0,4,12,3,0,0,0,0,0,0,0,0,0,0,0,1,1.2,1.2,1.2,0,139,0
32,3,0,0,0,0,0,0,0,0,0,0,1,1,7,7,0,0,0,0,0,0,1,1.7,1.7,1.2,0,215,0
23,1,0,0,0,0,0,0,0,0,0,0,2,1,7,7,0,0,0,0,0,0,1,1.7,1.7,1.2,0,107,0
26,5,0,0,0,0,0,0,0,0,0,0,2,2,13,6.5,0,0,0,0,0,0,1,3.3,3.3,2.3,0,210,0
23,16,0,0,0,0,0,0,5,10,2,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,141,0
25,4,3,0,0,0,0,0,0,0,0,0,2,1,5,5,0,0,0,0,0,0,1,1.5,1.5,1,0,149,0
23,4,0,0,0,0,0,0,0,0,0,0,1,1,5,5,0,0,0,0,0,0,1,1.5,1.5,1,0,109,0
23,4,0,0,0,0,0,0,3,9,3,0,0,0,0,0,0,0,0,0,0,0,1,0.9,0.9,0.9,0,143,0
26,11,6,0,0,0,0,0,0,0,0,0,3,1,9,9,0,0,0,0,0,0,1,1.9,1.9,1.4,0,105,0
27,15,6,0,0,0,0,0,0,0,0,0,1,1,11,11,0,0,0,0,0,0,1,2.1,2.1,1.6,0,102,0
40,3,0,3,5,24,0,0,2,-2,-1,0,0,0,0,0,0,0,0,0,0,0,1,0.8,0.8,0.8,0,60,0
24,8,0,0,0,0,0,0,2,8,4,0,0,0,0,0,0,0,0,0,0,0,1,0.8,0.8,0.8,0,145,0
22,6,0,0,0,0,0,0,0,0,0,0,3,2,13,6.5,0,0,0,0,0,0,1,3.3,3.3,2.3,0,99,0
23,8,0,0,0,0,0,0,0,0,0,0,4,2,34,17,0,1,1,0,0,0,1,3.4,4.4,2.4,0,208,0
25,1,0,0,0,0,0,0,0,0,0,0,1,1,8,8,0,0,0,0,0,0,1,1.8,1.8,1.3,0,146,0
23,9,0,0,0,0,0,0,4,9,2.25,0,0,0,0,0,0,0,0,0,0,0,1,0.9,0.9,0.9,0,142,0
23,16,0,0,0,0,0,0,0,0,0,0,2,1,6,6,0,0,0,0,0,0,1,1.6,1.6,1.1,0,108,0
24,3,0,0,0,0,0,0,0,0,0,0,3,1,6,6,0,0,0,0,0,0,1,1.6,1.6,1.1,0,216,0
27,5,1,0,0,0,0,0,0,0,0,0,2,2,11,5.5,0,0,0,0,0,0,1,3.1,3.1,2.1,0,103,0
22,1,0,0,0,0,0,0,0,0,0,0,2,1,12,12,0,0,0,0,0,0,1,2.2,2.2,1.7,0,211,0
25,5,2,0,0,0,0,0,0,0,0,0,1,1,5,5,0,0,0,0,0,0,1,1.5,1.5,1,0,110,0
26,14,0,0,0,0,0,0,2,5,2.5,0,2,1,6,6,0,3,0,0,0,0,1,2.1,2.1,1.6,0,212,0
23,5,2,0,0,0,0,0,0,0,0,0,3,1,8,8,0,0,0,0,0,0,1,1.8,1.8,1.3,0,106,0
25,16,0,0,0,0,0,0,0,0,0,0,5,2,14,7,0,0,0,0,0,0,1,3.4,3.4,2.4,0,207,0
28,13,0,0,0,0,0,0,0,0,0,0,2,2,10,5,0,0,0,0,0,0,1,3,3,2,0,104,0
24,8,0,0,0,0,0,0,4,6,1.5,0,0,0,0,0,0,0,0,0,0,0,1,0.6,0.6,0.6,0,148,0
25,3,0,0,0,0,0,0,0,0,0,0,1,1,11,11,0,0,0,0,0,0,1,2.1,2.1,1.6,0,213,0
22,4,0,0,0,0,0,0,5,11,2.2,0,0,0,0,0,0,0,0,0,0,0,1,1.1,1.1,1.1,0,140,0
27,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121,0
26,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,0
26,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116,0
24,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124,0
25,3,0,3,4,15,0,0,5,-7,-1.4,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,-0.1,-0.1,0,67,0
25,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,240,0
25,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,154,0
31,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127,0
24,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,155,0
23,13,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160,0
25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,222,0
28,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126,0
